name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time;operations_count;solutions_count
graph_4_0.5.gml;4;3;0.5;brute_force;0.125;0;True;-1;0.0;-1;-1
graph_4_0.5.gml;4;3;0.5;brute_force;0.25;1;True;(11, 68);0.0;1;-1
graph_4_0.5.gml;4;3;0.5;brute_force;0.5;2;True;(11, 68):(99, 95);0.0;4;1
graph_4_0.5.gml;4;3;0.5;brute_force;0.75;3;False;-1;0.0;10;4
graph_4_0.25.gml;4;1;0.25;brute_force;0.125;0;True;-1;0.0;-1;-1
graph_4_0.25.gml;4;1;0.25;brute_force;0.25;1;True;(11, 68);0.0;1;-1
graph_4_0.25.gml;4;1;0.25;brute_force;0.5;2;True;(11, 68):(99, 95);0.0;4;1
graph_4_0.25.gml;4;1;0.25;brute_force;0.75;3;True;(11, 68):(99, 95):(30, 2);0.0;8;2
graph_4_0.75.gml;4;4;0.75;brute_force;0.125;0;True;-1;0.0;-1;-1
graph_4_0.75.gml;4;4;0.75;brute_force;0.25;1;True;(11, 68);0.0;1;-1
graph_4_0.75.gml;4;4;0.75;brute_force;0.5;2;True;(11, 68):(30, 2);0.0;6;2
graph_4_0.75.gml;4;4;0.75;brute_force;0.75;3;False;-1;0.0;8;4
graph_4_0.125.gml;4;0;0.125;brute_force;0.125;0;True;-1;0.0;-1;-1
graph_4_0.125.gml;4;0;0.125;brute_force;0.25;1;True;(11, 68);0.0;1;-1
graph_4_0.125.gml;4;0;0.125;brute_force;0.5;2;True;(11, 68):(100, 6);0.0;2;-1
graph_4_0.125.gml;4;0;0.125;brute_force;0.75;3;True;(11, 68):(99, 95):(100, 6);0.0;4;-1
graph_5_0.5.gml;5;5;0.5;brute_force;0.125;0;True;-1;0.0;-1;-1
graph_5_0.5.gml;5;5;0.5;brute_force;0.25;1;True;(11, 68);0.0;1;-1
graph_5_0.5.gml;5;5;0.5;brute_force;0.5;2;True;(11, 68):(100, 6);0.0;2;-1
graph_5_0.5.gml;5;5;0.5;brute_force;0.75;3;False;-1;0.0;27;10
graph_5_0.25.gml;5;2;0.25;brute_force;0.125;0;True;-1;0.0;-1;-1
graph_5_0.25.gml;5;2;0.25;brute_force;0.25;1;True;(11, 68);0.0;1;-1
graph_5_0.25.gml;5;2;0.25;brute_force;0.5;2;True;(11, 68):(100, 6);0.0;2;-1
graph_5_0.25.gml;5;2;0.25;brute_force;0.75;3;True;(11, 68):(99, 95):(100, 6);0.0;4;-1
graph_5_0.75.gml;5;7;0.75;brute_force;0.125;0;True;-1;0.0;-1;-1
graph_5_0.75.gml;5;7;0.75;brute_force;0.25;1;True;(11, 68);0.0;1;-1
graph_5_0.75.gml;5;7;0.75;brute_force;0.5;2;True;(99, 95):(100, 6);0.0;10;4
graph_5_0.75.gml;5;7;0.75;brute_force;0.75;3;False;-1;0.0;24;10
graph_5_0.125.gml;5;1;0.125;brute_force;0.125;0;True;-1;0.0;-1;-1
graph_5_0.125.gml;5;1;0.125;brute_force;0.25;1;True;(11, 68);0.0;1;-1
