name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time
graph_10_0.125.gml;10;5;0.125;clever;0.125;1;True;(100, 6);0.0
graph_10_0.125.gml;10;5;0.125;clever;0.25;2;True;(99, 95):(100, 6);0.0009801387786865234
graph_10_0.125.gml;10;5;0.125;clever;0.5;5;True;(11, 68):(99, 95):(63, 50):(1, 29):(100, 6);0.0
graph_10_0.125.gml;10;5;0.125;clever;0.75;7;True;(11, 68):(63, 50):(51, 100):(99, 95):(99, 58):(1, 29):(100, 6);0.0
graph_10_0.25.gml;10;11;0.25;clever;0.125;1;True;(99, 95);0.0
graph_10_0.25.gml;10;11;0.25;clever;0.25;2;True;(63, 50):(99, 95);0.0015058517456054688
graph_10_0.25.gml;10;11;0.25;clever;0.5;5;True;(63, 50):(99, 95):(51, 100):(1, 29):(100, 6);0.0
graph_10_0.25.gml;10;11;0.25;clever;0.75;7;False;-1;0.0
graph_10_0.5.gml;10;22;0.5;clever;0.125;1;True;(64, 8);0.0010058879852294922
graph_10_0.5.gml;10;22;0.5;clever;0.25;2;True;(11, 68):(64, 8);0.0
graph_10_0.5.gml;10;22;0.5;clever;0.5;5;False;-1;0.0
graph_10_0.5.gml;10;22;0.5;clever;0.75;7;False;-1;0.0010004043579101562
graph_10_0.75.gml;10;33;0.75;clever;0.125;1;True;(11, 68);0.0009989738464355469
graph_10_0.75.gml;10;33;0.75;clever;0.25;2;True;(11, 68):(99, 95);0.0010004043579101562
graph_10_0.75.gml;10;33;0.75;clever;0.5;5;False;-1;0.0
graph_10_0.75.gml;10;33;0.75;clever;0.75;7;False;-1;0.0
graph_11_0.125.gml;11;6;0.125;clever;0.125;1;True;(99, 95);0.00103759765625
graph_11_0.125.gml;11;6;0.125;clever;0.25;2;True;(99, 95):(30, 2);0.0
graph_11_0.125.gml;11;6;0.125;clever;0.5;5;True;(63, 50):(99, 95):(51, 100):(1, 29):(30, 2);0.0009968280792236328
graph_11_0.125.gml;11;6;0.125;clever;0.75;8;True;(11, 68):(63, 50):(51, 100):(99, 95):(99, 58):(1, 100):(1, 29):(30, 2);0.0
graph_11_0.25.gml;11;13;0.25;clever;0.125;1;True;(30, 2);0.0
graph_11_0.25.gml;11;13;0.25;clever;0.25;2;True;(99, 95):(30, 2);0.0
graph_11_0.25.gml;11;13;0.25;clever;0.5;5;True;(11, 68):(99, 95):(1, 100):(1, 29):(30, 2);0.0
graph_11_0.25.gml;11;13;0.25;clever;0.75;8;False;-1;0.0
graph_11_0.5.gml;11;27;0.5;clever;0.125;1;True;(11, 68);0.000995635986328125
graph_11_0.5.gml;11;27;0.5;clever;0.25;2;True;(11, 68):(99, 58);0.0010001659393310547
graph_11_0.5.gml;11;27;0.5;clever;0.5;5;False;-1;0.0010006427764892578
graph_11_0.5.gml;11;27;0.5;clever;0.75;8;False;-1;0.001001119613647461
graph_11_0.75.gml;11;41;0.75;clever;0.125;1;True;(11, 68);0.0009982585906982422
graph_11_0.75.gml;11;41;0.75;clever;0.25;2;True;(11, 68):(99, 58);0.0010001659393310547
graph_11_0.75.gml;11;41;0.75;clever;0.5;5;False;-1;0.0010035037994384766
graph_11_0.75.gml;11;41;0.75;clever;0.75;8;False;-1;0.001010894775390625
graph_12_0.125.gml;12;8;0.125;clever;0.125;1;True;(11, 68);0.0
graph_12_0.125.gml;12;8;0.125;clever;0.25;3;True;(11, 68):(99, 95):(100, 6);0.0
graph_12_0.125.gml;12;8;0.125;clever;0.5;6;True;(63, 50):(99, 95):(51, 100):(11, 68):(1, 29):(100, 6);0.000997304916381836
graph_12_0.125.gml;12;8;0.125;clever;0.75;9;False;-1;0.0
graph_12_0.25.gml;12;16;0.25;clever;0.125;1;True;(11, 68);0.0
graph_12_0.25.gml;12;16;0.25;clever;0.25;3;True;(11, 68):(99, 95):(1, 29);0.0
graph_12_0.25.gml;12;16;0.25;clever;0.5;6;True;(11, 68):(33, 37):(99, 58):(99, 95):(1, 29):(30, 2);0.0
graph_12_0.25.gml;12;16;0.25;clever;0.75;9;False;-1;0.0010006427764892578
graph_12_0.5.gml;12;33;0.5;clever;0.125;1;True;(11, 68);0.0009992122650146484
graph_12_0.5.gml;12;33;0.5;clever;0.25;3;True;(63, 50):(100, 6):(11, 68);0.0010006427764892578
graph_12_0.5.gml;12;33;0.5;clever;0.5;6;False;-1;0.00099945068359375
graph_12_0.5.gml;12;33;0.5;clever;0.75;9;False;-1;0.0010008811950683594
graph_12_0.75.gml;12;49;0.75;clever;0.125;1;True;(11, 68);0.0010039806365966797
graph_12_0.75.gml;12;49;0.75;clever;0.25;3;True;(63, 50):(1, 29):(99, 58);0.0010063648223876953
graph_12_0.75.gml;12;49;0.75;clever;0.5;6;False;-1;0.0009992122650146484
graph_12_0.75.gml;12;49;0.75;clever;0.75;9;False;-1;0.0
graph_13_0.125.gml;13;9;0.125;clever;0.125;1;True;(11, 68);0.0
graph_13_0.125.gml;13;9;0.125;clever;0.25;3;True;(99, 95):(30, 2):(11, 68);0.00099945068359375
graph_13_0.125.gml;13;9;0.125;clever;0.5;6;True;(63, 50):(99, 95):(11, 68):(41, 72):(1, 29):(30, 2);0.0
graph_13_0.125.gml;13;9;0.125;clever;0.75;9;True;(11, 68):(41, 72):(1, 29):(63, 50):(51, 100):(33, 37):(99, 95):(64, 8):(30, 2);0.0
graph_13_0.25.gml;13;19;0.25;clever;0.125;1;True;(51, 100);0.0
graph_13_0.25.gml;13;19;0.25;clever;0.25;3;True;(11, 68):(63, 50):(51, 100);0.0
graph_13_0.25.gml;13;19;0.25;clever;0.5;6;True;(11, 68):(63, 50):(51, 100):(33, 37):(30, 2):(64, 8);0.0
graph_13_0.25.gml;13;19;0.25;clever;0.75;9;False;-1;0.0
graph_13_0.5.gml;13;39;0.5;clever;0.125;1;True;(11, 68);0.0009784698486328125
graph_13_0.5.gml;13;39;0.5;clever;0.25;3;True;(99, 95):(30, 2):(11, 68);0.0020041465759277344
graph_13_0.5.gml;13;39;0.5;clever;0.5;6;False;-1;0.0009949207305908203
graph_13_0.5.gml;13;39;0.5;clever;0.75;9;False;-1;0.0009984970092773438
graph_13_0.75.gml;13;58;0.75;clever;0.125;1;True;(11, 68);0.0010025501251220703
graph_13_0.75.gml;13;58;0.75;clever;0.25;3;True;(99, 95):(30, 2):(33, 37);0.0009992122650146484
graph_13_0.75.gml;13;58;0.75;clever;0.5;6;False;-1;0.0009980201721191406
graph_13_0.75.gml;13;58;0.75;clever;0.75;9;False;-1;0.0009999275207519531
graph_14_0.125.gml;14;11;0.125;clever;0.125;1;True;(100, 6);0.0
graph_14_0.125.gml;14;11;0.125;clever;0.25;3;True;(11, 68):(99, 95):(100, 6);0.0
graph_14_0.125.gml;14;11;0.125;clever;0.5;7;True;(63, 50):(11, 68):(72, 79):(99, 95):(1, 29):(100, 6):(30, 2);0.0
graph_14_0.125.gml;14;11;0.125;clever;0.75;10;False;-1;0.0
graph_14_0.25.gml;14;22;0.25;clever;0.125;1;True;(11, 68);0.0009999275207519531
graph_14_0.25.gml;14;22;0.25;clever;0.25;3;True;(11, 68):(99, 95):(100, 6);0.0009996891021728516
graph_14_0.25.gml;14;22;0.25;clever;0.5;7;True;(99, 95):(100, 6):(51, 100):(11, 68):(41, 72):(30, 2):(64, 8);0.0009999275207519531
graph_14_0.25.gml;14;22;0.25;clever;0.75;10;False;-1;0.001001596450805664
graph_14_0.5.gml;14;45;0.5;clever;0.125;1;True;(11, 68);0.0009980201721191406
graph_14_0.5.gml;14;45;0.5;clever;0.25;3;True;(11, 68):(41, 72):(64, 8);0.001997709274291992
graph_14_0.5.gml;14;45;0.5;clever;0.5;7;False;-1;0.0009999275207519531
graph_14_0.5.gml;14;45;0.5;clever;0.75;10;False;-1;0.0010006427764892578
graph_14_0.75.gml;14;68;0.75;clever;0.125;1;True;(11, 68);0.0020003318786621094
graph_14_0.75.gml;14;68;0.75;clever;0.25;3;True;(11, 68):(30, 2):(41, 72);0.0019979476928710938
graph_14_0.75.gml;14;68;0.75;clever;0.5;7;False;-1;0.0020003318786621094
graph_14_0.75.gml;14;68;0.75;clever;0.75;10;False;-1;0.0009999275207519531
graph_15_0.125.gml;15;13;0.125;clever;0.125;1;True;(11, 68);0.0009648799896240234
graph_15_0.125.gml;15;13;0.125;clever;0.25;3;True;(99, 95):(30, 2):(11, 68);0.0
